"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1276",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6
"281",11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6
"690",8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5
"880",7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
"1335",7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,5
"832",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6
"803",5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7
"446",9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6
"684",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5
"246",7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
"1512",7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,5
"620",11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5
"81",6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5
"1183",10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,6
"424",10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
"988",7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5
"650",6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,6
"513",10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,6
"1505",7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6
"1130",10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6
"362",8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,6
"949",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
"925",8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5
"1002",9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,7
"272",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
"1172",7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6
"1003",9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7
"555",15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
"1326",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
"1238",7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6
"1269",6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6
"1550",7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8
"237",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
"1572",6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6
"706",8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5
"546",9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5
"549",12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6
"1399",7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7
"302",11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6
"912",9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,6
"662",7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5
"1367",7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5
"86",6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5
"878",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
"422",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
"1089",11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7
"1369",8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6
"1467",7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7
"1371",8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5
"553",9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6
"772",9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,5
"608",8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6
"496",10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
"794",7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5
"470",8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5
"899",8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7
"1143",6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6
"197",7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5
"412",9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5
"1060",8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7
"88",7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
"619",11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5
"1455",11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,6
"382",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6
"353",7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5
"691",7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3
"261",7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5
"1041",7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,5
"1145",7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5
"944",9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7
"681",13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,5
"585",11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7
"796",10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,5
"337",8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6
"1515",6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.23333333333333,6
"313",9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6
"847",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
"1105",8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,6
"1545",8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,7
"980",12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5
"723",7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,5
"795",10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,6
"1412",6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,6
"80",8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4
"483",10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5
"435",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
"1227",7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,5
"1108",9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7
"1494",7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,5
"324",10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6
"780",7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,5
"381",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
"1319",7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6
"1396",8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,6
"874",9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7
"72",7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
"1133",7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7
"82",7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5
"1381",7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6
"703",7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6
"1161",10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7
"801",7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,5
"621",8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5
"1265",8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,6
"753",7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5
"575",10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,6
"425",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
"1488",6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5
"1321",9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,5
"1110",10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6
"1039",8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,7
"103",8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
"1301",5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6
"1487",6.8,0.68,0.21,2.1,0.07,9,23,0.99546,3.38,0.6,10.3,5
"1327",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
"1068",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7
"300",6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5
"311",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6
"228",9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5
"104",8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
"184",6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
"1287",7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6
"1418",7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,7
"87",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
"1080",7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7
"1586",7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,6
"1539",6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,5
"397",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5
"1403",7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,6
"1483",7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,4
"488",10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6
"213",11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6
"232",8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6
"1336",6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6
"955",7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6
"1055",8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6
"1353",7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5
"143",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
"823",6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5
"642",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
"1578",6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9,6
"708",7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5
"848",7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6
"1470",7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,3
"1250",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
"1033",8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,5
"639",7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7
"1546",6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,6
"247",7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5
"1360",11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,6
"819",7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,5
"1279",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6
"1484",8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,5
"1576",7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8,6
"1297",6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5
"1283",7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,6
"751",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
